NAME,ADDRESS,VOTES,RATINGS,PHONENUMBER
Sri Velan Hardwares,"No:681/381, E.V.R.Periyar road, Poonamallee High Road, Arumbakkam, Chennai - 600106, Opp to Anna Arch",0,,+919884040979+919884562088
Rajamani,"no 55/60 kamaraja colony muthuram street 1 block opp, T Nagar, Chennai - 600017, backside police qutarz",0,,+919790512461
Pioneer Interior,"5/9, Strahans Road, sums lane, Pattalam, Chennai - 600012",5,4.7,+919152187624
Chennairenovations.com,"No 217 Unitech 1st Floor, 2nd Main Road, Virugambakkam, Chennai - 600092, Natesan Nagar Near Karnataka Bank",10,4.0,04445562052+918754508754
Balaji Interio,"No:5/15 Plot No 19, 2 Nd Mangali Nagar Duraisamy Colony, Arumbakkam, Chennai - 600106",1,5.0,+918608322604+919840365666
Sky Painters,"No 178/4 1st Floor, Vaniyar Street, Choolaimedu, Chennai - 600094, Near Amma Hospital",0,,+919152820950
New Wood Tech,"No 7 A, Perumal Koil Street, Nerkundram-Koyambedu, Chennai - 600107, Near Perumal Temple",4,4.6,+919840855810+919840827770+919940427770
Crown Enterprises,"No 17/15, 0, Vyasarpadi, Chennai - 600039, Jeeva Railway Station & Perumbur",6,4.2,+919152198991
sanjay painting contractor,"Otteri, Chennai - 600012",0,,+919710476311
GKG Constructions,"No 6, 3rd Main Road Vel Nagar, Maduravoyal, Chennai - 600095, Near Bharathi Matriculation School",1,5.0,+919152954871
Sathya Painting Contractors,"No 30/36, K K Nager 10th Street, Ayanavaram, Chennai - 600023, Near k2 Police Station",3,4.8,+919790360978
Sri Vasantham Dector,"No 3/101, E Karunanidhi Street, Kollacherry, Kunrathur, Chennai - 600069, Near Maangadu",6,4.3,+919444156184
Prem Painting Works,"Perambur, Chennai - 600011",1,5.0,+919710018930
Building Alotration Work,"No.8, Vada Agaram Road, Aminjikarai, Chennai - 600030, Near to METHANAGAR BUS STOP",0,,+919003229553+919382198436
Sri Venkateswara Works,"No 5 Sri Appartments, Srinivasa Avenue, Raja Annamalai Puram, Chennai - 600028, Rajahmuthiah Higher Secondary School",3,5.0,+919952016619+918056193645
Anilkumar Painter,"No 53/3, V O C Colony Nehru Street, Anna Nagar East, Chennai - 600102, near perumal koil",0,,+919841127606
Ramachandran Carpenter,"No 45a, Subburao Nagar 1st Street, Choolaimedu, Chennai - 600094, Near By Mmda",0,,+919444760633
Eshwar Enterprises,"No.14/7, Thiruvalluvar Street, Ambal Nagar-Ekkaduthangal, Chennai - 600032, Near By Metro Station",2,3.5,+919152906812
Dharaniam Decors,"No:7, MG Chakrabani Nagar-alapakkam, Porur, Chennai - 600116, Near MGR Catering College",2,4.8,+919003238377
Jesus Interior,"No.49C, Annai Kudiyiruppu, Mgr Nagar, MGR Nagar-Nesapakkam, Chennai - 600078",2,3.8,+919152664519
Dhanalakshmi Enterprises,"No 16/ 8, Gurumoorthy Nagar, Perambur, Chennai - 600011, Near TVK Ground",1,3.5,+919094378782
S.k.s.saravanamuthu & Bror.,"Old No. 206/2, New No. 329, Aminjikarai, Chennai - 600030",31,4.0,+919444062256
Chennai Instant Service,"No 166 B Block Thanikachalam Nagar, 6th Main Road, Ponniammanmedu, Chennai - 600110, Near Kumaran Nagar Bus Stand",1,4.5,+919152693524
R M Association,"No 3/2, Mookathal Street, Purasawalkam, Chennai - 600084, Opposite Saravana Store",1,5.0,04426454123+919840593955+917299911964
G R Building Contractor,"92, 1st, Periyar Colony, CP Garden, Aminjikarai, Chennai - 600030, Ampa Skywalk",0,,+919840635061
New Colours,"No 21/8, Vanniyar 2nd St, Choolaimedu, Chennai - 600094, Opposite to Chandra Bhawan Hotel Street Last End Vanniyar Street",0,,+919841945750
Logesh Painting Works,"2/3, Gugan Street, Puliyapuram, Chennai - 600024, Kodambakkam",2,5.0,+919884101373+917299066689+917299066649
Red Copper Painters,"No : 26A/63, Dasspuram., Puliyur Puram 1st Main Road, Kodambakkam, Chennai - 600024, Near Meenakshi College",0,,+919840211204
U M Industrial Coating And Services,"No 290/86, Thambu Chetty Street, George Town, Chennai - 600001, Near Indian Bank Mannady Branch",8,4.4,04443597878+917299963786+919840859609
Surya Marketing,"42/22, Jayaram Street, Saidapet, Chennai - 600015, NEAR GSL &Co",0,,04448549655+919940649757
Gowtham Painting Solution,"No -8, 0, Mogappair West, Chennai - 600037",10,4.8,+919152213391
Home Needs,"No 3/297, Jaladianpettai MGR Salai Nesavalar Nagar, Medavakkam, Chennai - 600100, Near Padmam Matriculation School",18,4.8,+919152328506
Radhika Painting,"No: 15/8, Rangaraja Puram, 7th Street, Kodambakkam, Chennai - 600024, Near More Market",0,,+919626791585
Senthil Hardwares,"2/45, Trunk Road, Kattupakkam, Chennai - 600056, Near to Hp Petrol Bunk",0,,+919176186879
Sanjana A To Z CIVIL WORK,"No-2/516 A, 1St Street PANDIYAN Nagar, Thoraipakkam, chennai - 600097, Near Jain College",2,3.5,+919152909754
Raajameena Constructions,"No 27, balu nagar, Mogappair East, Chennai - 600037, Near Velammal Annex School, Balu Nagar",1,4.0,+919152185550
Sk Colours,"No 491, Dr Ambedkar Nagar, Anna Nagar, Chennai - 600040, New Avadi Road",3,5.0,+917401116034+919840169562
Subbulakshimi & Co,"New No :29, Old No 12/1, Ilango Saalai, Teynampet, Chennai - 600018, Near Anna Arivalaiyam Kalyanamandabam",0,,+918681088859+917200010188+917358270303
Mani Associates,"Old No 9; New No 18, Rajapunikr Street; Varadharajapet, Kodambakkam, Chennai - 600024, Backside Pf Meenakshi College",0,,+918124343227+919677072294
Nayagam Service,"22/40, sankara bakthan street, nammalwarpet, Chennai - 600083, near depo,",2,5.0,+917904570027+919840778579
Degital Designers,"12, Limek Line Street, Aminjikarai, Chennai - 600030",0,,04426602878
SS Construction,"No 2 Church Street, Gandhi Nagar, Selaiyur, Chennai - 600073, Near Bharath Eng College",1,5.0,+919152874703
AVM Core Cutting And Plumbing Contractor,"No 118, Kaveri Rangan Nagar, Hari Krishnan Street, Vadapalani, Chennai - 600026, Vijaya Hospital",1,5.0,+917845952532
HOME CRAFT Services,"82/22, Murugappa Reddy St, Venkatapuram, Ambattur, Chennai - 600053",31,4.9,+919152794126
V D Electrical And Plumbing,"No 2/374, Subrayam Nagar 3rd Street, Thoraipakkam, Chennai - 600097, Near MNM Jain College",7,4.3,+919152178794
Artistic building contractors,"29/13A, Hyber garden 4th street, Perambur Barracks, Chennai - 600012, near perambur railway station",2,4.8,+918124965477
B B Shah Optcns Clinic,"50, Sarangapani St, Toff T P Road, T Nagar, Chennai - 600017",0,,04428281985
Sri Vari Electriclas & Plumbing,"No 500/20, Rajiv Gandhi Nagar, Anna Nagar, Chennai - 600040, Near Ambedkar Statue",17,3.5,+917401144780+917667771460
Vinayaka Moorthi Hardware,"No.9, M.T.H Road, Padi, Chennai - 600050, Opp. to Maheshwari Kalyana Mandapam",0,,+918056228105+917708664264+918056228105+919444039785
Sri Interior Designs,"93 New Military Road, Kannigapuram, Avadi, Chennai - 600054, Pachiamman Kovil",6,4.4,+919152666039
Sun Colours,"No 131, Christnadass Road, 8th Street, Otteri, Chennai - 600012, New Vallaiyamma Nagar",0,,04426620405+919444177015
Anand Interiors,"No 10, Viswanathan Street, Chrompet, Chennai - 600044, Near Vaishnava College",0,,+919003192244+919789805540
Sanjay Electricals & Plumbing Works,"No 31, Vembuli Amman Koil Street, K K Nagar West, Chennai - 600078, Near Meenakshi College",1,5.0,+919152331344
Interior Jumbo,"No:14/3, Partha Sarathy Puram, T Nagar, Chennai - 600017, Kodambakkam Fly Over",23,5.0,+919152576185
M M Interiors,"No 60 /105, Ellaiamman Koil Street, West Mambalam, Chennai - 600033, Near T Nagar Bus Stop",1,3.0,+919962897606+919445645836
Sofiya Painter,"65 2nd floor maiyar road, Aminjikarai, Chennai - 600030, near anna arch",0,,+919551164507+919841530186
Gee Vee Interiors,"No.5, Brindavan Street, West Mambalam, Chennai - 600033, Opp to Duraiswamy Subway",2,3.5,+917358582635
Raj Painting And Electrical,"Kingdom Residancy G1 Plot No 79, 2nd Street Sri Perumal Nagar, Perumbakkam, Chennai - 600100, Near Vasantham Marriage Hall",2,4.8,+919152105088
VARUN Interiors,"No.35, 2nd Avenue, Ashok Nagar, Ashok Nagar, Chennai - 600083, Lakshmi Shruthi",12,3.3,+919150761700+917871243141
Quality Furniture,"No 13/14, Tamilar Street, Choolaimedu, Chennai - 600094, Padmanaban Nagar",1,3.0,+919791086281+919840229251
Jaya Enterprises,"No 10, Muthumaryamman Street, Greames Road, Chennai - 600006, Near Magesh Garden",7,4.5,+919884217067
Jeyam Paintings,"2/2, Barathi Avenue, West Canal Bank Raod, Kotturpuram, Chennai - 600085, Opp Madhya Kailash Railway Station,",1,5.0,+919003151900
Tamil Arasu Paint Decorator,"Old No 35 New No 27/1, Narayanasamy Thottam 1st Street, Raja Annamalai Puram, Chennai - 600028, Near Andhra Hospital",1,5.0,+919152191795
HIGH CARE,"NO:55, CHELAPPA STREET, Kosapet, Chennai - 600012, Near Bus Stand",1,4.0,+919884848424
MARS Painting WORKS,"no: 2/38, MOOPANAR STREET, Medavakkam, Chennai - 600100, near kumarantheatre opp",3,5.0,+919152170697
The Kovai Painting Works,"No 3 A, Cdn Nagar 9th Street, Maduravoyal, Chennai - 600095, Opposite Mgr University",81,4.8,+919152213518
N N Blessing Painters,"No.3, Dosspuram, Chetpet, Chennai - 600031, Near Ega Theatre ,Taylors Road",5,4.6,+919152882119
Home Craft Services,"82/22, Murugappa Reddy St, Ambattur, Chennai - 600053, Venkatapuram",2,3.5,+919152658674
New Quality Painting Contractors,"No.84/23, 2nd Main Road Mahalakshmi Nagar, Adambakkam, Chennai - 600088, Near Sbi Bank",2,5.0,+919152860462
A G Engineering Works,"No 68, Mudichur Road Parvathi Nagar, Old Perungalathur, Chennai - 600063, Near parvathi Nagar Bus Stop",23,3.9,+919840161955
Kannappa Painting Worksorks,"No 130, 5th Cross Street Annai Satya Nagar, Ramapuram, Chennai - 600089, Near Amman Temple",3,3.7,+919940318308
Madhumitha Interiors Work,"Flat No 9 Door No 3/12, R R Nagar, Subbiah Nagar-Iyappanthangal, chennai - 600056, Near Selvarani Kalyanam Mandabam",3,4.5,+919152197598
Manikandan Builders,"No:21, Anugraha, Kothri Nagar 1st Main Road, Ramapuram, Chennai - 600089, Near Kowshik Mini Hall",1,5.0,+919500490043+918072013603
G Saran Traders,"No : 119, Dharga Road Kamaraj Nagar, Pallavaram, Chennai - 600043, Near Syndicate Bank Atm",1,4.0,+919444900067
MM Painting Works,"27, Lockma Nagar, Medavakkam Tank Road, Kellys, Chennai - 600010, Near Asha Nivas Ladies Hostel,",2,3.5,+919884464797
Ozone Interiors,"No7 Plot 72, 7th Main Road 8th Avenue Dhandeeswaram, Velacheri, Chennai - 600042, Opposite Indian Oil Petrol Bunk",3,4.3,+919894106475+918190810474
Sundar Foundation,"No.74/2, VGP SALAI, Saidapet, Chennai - 600015, Near 5lights",33,4.5,+919940220180+918072344050
Sri Perumal Depo,"No 95, P V Vaithiyalingam Road, Old Pallavaram, Chennai - 600117, Near By Citi Union Bank",0,,04422660111+919444955422+919444010141
Cadence Engineering,"No 7 Anna Poorni Nagar, Ponniammanmedu, Chennai - 600110, Back to Rattari Rto Office",0,,+919080460748+919171816374
Ishwarya Building Painters & Wood Polish,"No 101, Bhrama Line 4th Street Brickline Road, Otteri, Chennai - 600012, Sri Balaji Hospital",0,,+919840065237
JB Construction,"No 17A LIG Colony 3rd Street, Cross Road, New Washermanpet-Tondiarpet, Chennai - 600081, Nr Appolo",0,,+919791156957+919941334568
JOY Revamp,"No14 Flat No 28 Vijay Shanthi Appartment, 3rd Floor, Bajana Koil Street, Choolaimedu, Chennai - 600094, Near Choolaimedu Police Station",3,4.8,+919841116644+919941334499
World Texture,"No 372, 20th Street, Nsk Nagar, Arumbakkam, Chennai - 600106, Near",0,,+919043139954
GMV Painters,"No 4/10 Block, 18th Main Road, Thirumullaivoyal, Chennai - 600062, Near Housing Board",74,4.7,+919152180704
Deepica Decors,"No 26, Parthasarathi Street, Pulianthope, Chennai - 600012, Near Puliyathope RTo Office",6,4.5,+919941177327+919840530062
Thangavelu Plumbing&motor Works,"No:29, Mettukuppam Main Road, Nerkundram-Koyambedu, Chennai - 600107, Near MRS School, Ground Floor Of Rani Kalyana Mandapam",2,3.0,04448524317+919444029687+919092177888
rainbow paints,"no:28 lala garden, Mambalam High Road, T Nagar, Chennai - 600017, near kodambakam railway station",0,,+919094445064+919962460424
Sri Ganapathi Painting Solution,"No 445, Poonamalle High Road, Arumbakkam, Chennai - 600106, Dg Vaishnav College Campus",1,4.0,+919152228319
C K Plumbing Works,"No 70 B Lakshmi Appt, 1st Cross Street Extension 2, Venkatesh Nagar-Virugambakkam, Chennai - 600092, Opposite Padmsarangabani School, Venkatesh Nagar",2,4.0,+919444499559
Saja Man Power,"No 20, Nadesan Salai, Old Pallavaram, Chennai - 600117, Near Christian Advent Church",0,,+919551905190
S K Builders,"No. C7 32nd Floor, Thiruvalluvar Main Road, Adambakkam, Chennai - 600088, Near By Ambatker Statue",0,,+919551287322+919003467013
Saravanan Painting Contractor,"No 11 G Block, Dr Thomas Road, T Nagar, Chennai - 600017, Opp To Grt Grand Hotel",0,,04442025095+919884665639
Sri Balaji Purasai Hardwares,"#25, Purasaiwalkam High Road, Purasawalkam, Chennai - 600084, Next to Saravana Stores, Facing Tana Street",14,3.6,0442642195104426423017+919381921951+919383231951
Varshini Asian Paints,"No 47, A Block, 27th Cross St, Shenoy Nagar, Chennai - 600030, T P Chathram",0,,+919094560454+918072535056
India Painters,"3/5, jainagar 19th street, Arumbakkam, Chennai - 600106, near jainagar park opposite to koyambedu bus terminus",2,5.0,+919003011365
V K P Painting Contractors,"No 17 B Block, Aadhi Kesava Perumal Kovil Street, West Mambalam, Chennai - 600033, Near Lakshmi Hospital",3,4.5,+919152481034
K Shaik Mohamad,"No 24 Sadasivamstreet, Purasawalkam, Chennai - 600084, Backside Madarsha",0,,+919840488334
Inscale Handyman Services,"No 22, Thanikachalam Road, T Nagar, Chennai - 600017, Opposite ICICI Bank",27,4.2,04448525234+919884576008+919884366008
JH Enterprises,"No-3/808-A, FF6, Jemi abode, Block 3, Mogappair West, Chennai - 600037, panchamugha Sivan kovil",2,5.0,+919152185660
Dann Promoters,"shop no 40 bhaiyo complex, door no 286 purasivakkam high road, Doveton, Chennai - 600007, near buhari hotel",0,,04448531570+917904223374+919500055251
Colourful Creations,"No.12, 43rd Cross Street, 6th Avenue, Ashok Nagar, Chennai - 600083",4,4.9,+919152171827
South Asian Water Proofing,"1507, 29th Cross Street, Convent Road, Shenoy Nagar, Chennai - 600030",0,,04426454494
Udayakumar Painting Contractor,"NO;156, P P GARDEN, 2ND STREET, Aminjikarai, Chennai - 600029, NEAR SKY WALK",0,,+919941024513+918428511768
Icon I7 Civil Engg,"9/119 A Wsubramaniyam Nagar, Sikarayapuram, Kunrathur, Chennai - 600069, Beside Muthukumaran College",1,4.5,+919152312474
Raj Coatings,": 24, Kabilar Street, Ambal Nagar, Ekkattuthangal, Chennai - 600001",1,5.0,04422331814
Ga Constructions,"No 5, 1st Link Road Vivekananda Nagar, Kodungaiyur, Chennai - 600118, Near St Jospeh Church",18,4.8,+919152122603
Dream Decors,"No 19/28, Sarangapani Street Nelson Manickam Road, Aminjikarai, Chennai - 600030, Opposite to Mehta Nagar Bus Stop",1,3.0,04464561154+919840111154
Annai Velankanni Home Care Service,"No 4/90, Kanniamman Kovil Street, Madipakkam, Chennai - 600091, Near Madipakkam Bus Terminus",8,4.0,+919551948272+919092499801+918939070908
Sri Vinayagar Painting And Carpentary,"No 11, 2nd Street, T Nagar, Chennai - 600017, Opposite Reliance Fresh, Parthasarathy Puram",4,2.0,+919551404077+919840231135
Sri Baba Interior And Automation,"27/2, SECOND FLOOR, VEDHACHALAM GARDEN, Mandaveli, Mandaveli, Chennai - 600028, Near Mandaveli Market",1,5.0,
